read;ins;del;sub
534;0.029;0.0434;0.031
535;0.0237;0.0355;0.0254
536;0.0293;0.044;0.0314
537;0.0203;0.0304;0.0217
538;0.0243;0.0365;0.0261
539;0.0381;0.0571;0.0408
540;0.0437;0.0655;0.0468
541;0.0213;0.0319;0.0228
542;0.0253;0.038;0.0272
543;0.0269;0.0403;0.0288
544;0.0393;0.0589;0.0421
545;0.0611;0.0916;0.0654
546;0.0419;0.0628;0.0449
547;0.055;0.0824;0.0589
548;0.0243;0.0364;0.026
549;0.0382;0.0573;0.041
550;0.0412;0.0618;0.0441
551;0.0281;0.0421;0.0301
552;0.0304;0.0455;0.0325
553;0.0604;0.0906;0.0647
554;0.0769;0.1153;0.0823
555;0.0404;0.0606;0.0433
556;0.0529;0.0793;0.0567
557;0.0431;0.0646;0.0462
558;0.055;0.0826;0.059
559;0.0252;0.0378;0.027
560;0.0504;0.0756;0.054
561;0.0384;0.0576;0.0412
562;0.0241;0.0362;0.0258
563;0.0335;0.0503;0.0359
564;0.0515;0.0772;0.0552
565;0.0236;0.0354;0.0253
566;0.0336;0.0505;0.036
567;0.0491;0.0737;0.0526
568;0.0413;0.0619;0.0442
569;0.0451;0.0676;0.0483
570;0.0365;0.0548;0.0392
571;0.0607;0.091;0.065
572;0.0261;0.0391;0.0279
573;0.0302;0.0453;0.0324
574;0.04;0.06;0.0428
575;0.0442;0.0663;0.0474
576;0.056;0.0839;0.06
577;0.0391;0.0586;0.0418
578;0.0294;0.0442;0.0315
579;0.0378;0.0566;0.0405
580;0.0248;0.0372;0.0266
581;0.0529;0.0794;0.0567
582;0.0473;0.0709;0.0507
583;0.0232;0.0349;0.0249
584;0.0436;0.0654;0.0467
585;0.0395;0.0592;0.0423
586;0.019;0.0286;0.0204
587;0.0575;0.0862;0.0616
588;0.0461;0.0692;0.0494
589;0.0618;0.0927;0.0662
590;0.0514;0.0771;0.0551
591;0.1134;0.1702;0.1215
592;0.0521;0.0782;0.0558
593;0.0264;0.0397;0.0283
594;0.0253;0.0379;0.0271
595;0.0479;0.0719;0.0513
596;0.0281;0.0422;0.0301
597;0.0494;0.074;0.0529
598;0.0363;0.0544;0.0389
599;0.0235;0.0353;0.0252
600;0.0669;0.1004;0.0717
601;0.0393;0.059;0.0421
602;0.0167;0.0251;0.0179
603;0.0683;0.1024;0.0732
604;0.026;0.0389;0.0278
605;0.0351;0.0527;0.0377
606;0.0301;0.0452;0.0323
607;0.0516;0.0775;0.0553
608;0.0457;0.0686;0.049
609;0.0439;0.0658;0.047
610;0.0396;0.0594;0.0424
611;0.0445;0.0667;0.0476
612;0.0383;0.0574;0.041
613;0.0279;0.0418;0.0298
614;0.0425;0.0638;0.0455
615;0.0248;0.0372;0.0266
616;0.0222;0.0333;0.0238
617;0.0201;0.0302;0.0216
618;0.0367;0.055;0.0393
619;0.0341;0.0512;0.0366
620;0.0649;0.0973;0.0695
621;0.0433;0.065;0.0464
622;0.0519;0.0778;0.0556
623;0.0336;0.0504;0.036
624;0.036;0.054;0.0386
625;0.0355;0.0532;0.038
626;0.0314;0.047;0.0336
627;0.0418;0.0628;0.0448
628;0.0301;0.0452;0.0323
629;0.0189;0.0283;0.0202
630;0.0326;0.0489;0.0349
631;0.0717;0.1076;0.0768
632;0.0395;0.0592;0.0423
633;0.0351;0.0527;0.0376
634;0.0209;0.0313;0.0223
635;0.0292;0.0438;0.0313
636;0.0327;0.0491;0.0351
637;0.0441;0.0661;0.0472
638;0.0473;0.0709;0.0506
639;0.0482;0.0724;0.0517
640;0.0376;0.0565;0.0403
641;0.0395;0.0593;0.0423
642;0.035;0.0525;0.0375
643;0.036;0.0541;0.0386
644;0.0344;0.0517;0.0369
645;0.0728;0.1092;0.078
646;0.0263;0.0395;0.0282
647;0.0348;0.0523;0.0373
648;0.0307;0.046;0.0329
649;0.068;0.102;0.0729
650;0.0619;0.0929;0.0664
651;0.0374;0.0561;0.04
652;0.0316;0.0475;0.0339
653;0.0314;0.047;0.0336
654;0.0425;0.0638;0.0456
655;0.0313;0.047;0.0336
656;0.0772;0.1158;0.0827
657;0.0276;0.0414;0.0295
658;0.0421;0.0632;0.0451
659;0.0234;0.0351;0.0251
660;0.0342;0.0513;0.0366
661;0.0207;0.0311;0.0222
662;0.0507;0.0761;0.0544
663;0.0453;0.0679;0.0485
664;0.0363;0.0544;0.0389
665;0.0223;0.0335;0.0239
666;0.0527;0.0791;0.0565
667;0.0517;0.0776;0.0554
668;0.0513;0.0769;0.055
669;0.0479;0.0719;0.0513
670;0.0217;0.0325;0.0232
671;0.0447;0.067;0.0479
672;0.0247;0.0371;0.0265
673;0.025;0.0375;0.0268
674;0.019;0.0285;0.0204
675;0.0293;0.0439;0.0314
676;0.0338;0.0507;0.0362
677;0.0211;0.0316;0.0226
678;0.0419;0.0628;0.0449
679;0.0303;0.0455;0.0325
680;0.0264;0.0397;0.0283
681;0.0181;0.0272;0.0194
682;0.0639;0.0958;0.0685
683;0.0314;0.0471;0.0336
684;0.0634;0.0951;0.0679
685;0.0462;0.0693;0.0495
686;0.0508;0.0761;0.0544
687;0.0669;0.1004;0.0717
688;0.0524;0.0786;0.0562
689;0.0278;0.0417;0.0298
690;0.0217;0.0326;0.0233
691;0.0323;0.0485;0.0346
692;0.0466;0.0699;0.0499
693;0.0329;0.0494;0.0353
694;0.0348;0.0522;0.0373
695;0.0412;0.0618;0.0441
696;0.0336;0.0504;0.036
697;0.0297;0.0446;0.0319
698;0.0315;0.0472;0.0337
699;0.0254;0.0381;0.0272
700;0.0364;0.0546;0.039
701;0.0417;0.0626;0.0447
702;0.0246;0.0369;0.0263
703;0.1072;0.1608;0.1148
704;0.0299;0.0448;0.032
705;0.038;0.057;0.0407
706;0.0308;0.0462;0.033
707;0.0222;0.0333;0.0238
708;0.0571;0.0857;0.0612
709;0.0412;0.0618;0.0442
710;0.0313;0.047;0.0336
711;0.0337;0.0505;0.0361
712;0.04;0.0599;0.0428
713;0.028;0.042;0.03
714;0.0293;0.044;0.0314
715;0.0228;0.0341;0.0244
716;0.0242;0.0362;0.0259
717;0.0385;0.0577;0.0412
718;0.0367;0.055;0.0393
719;0.0358;0.0537;0.0384
720;0.0288;0.0432;0.0308
721;0.022;0.033;0.0235
722;0.0342;0.0514;0.0367
723;0.0393;0.0589;0.0421
724;0.0311;0.0467;0.0334
725;0.0339;0.0509;0.0364
726;0.0742;0.1113;0.0795
727;0.0301;0.0452;0.0323
728;0.03;0.0451;0.0322
729;0.0502;0.0753;0.0538
730;0.0373;0.056;0.04
731;0.0529;0.0793;0.0566
