read;ins;del;sub
71640;0.0043;0.0067;0.0129
71641;0.0009;0.0014;0.0028
71642;0.0011;0.0016;0.0032
71643;0.0022;0.0034;0.0065
71644;0.0013;0.0021;0.004
71645;0.0043;0.0067;0.0128
71646;0.0013;0.0021;0.004
71647;0.003;0.0047;0.0091
71648;0.0017;0.0026;0.0051
71649;0.0007;0.001;0.002
71650;0.0044;0.0068;0.0132
71651;0.0009;0.0014;0.0027
71652;0.0014;0.0021;0.0041
71653;0.0015;0.0024;0.0046
71654;0.0039;0.0061;0.0118
71655;0.0102;0.0158;0.0305
71656;0.0018;0.0028;0.0053
71657;0.0028;0.0043;0.0084
71658;0.0044;0.0069;0.0133
71659;0.0039;0.006;0.0116
71660;0.0045;0.0069;0.0134
71661;0.0063;0.0097;0.0188
71662;0.0045;0.007;0.0134
71663;0.0044;0.0068;0.0131
71664;0.003;0.0046;0.0089
71665;0.0014;0.0022;0.0043
71666;0.0054;0.0083;0.0161
71667;0.0024;0.0038;0.0073
71668;0.0023;0.0036;0.007
71669;0.0036;0.0056;0.0109
71670;0.0021;0.0033;0.0063
71671;0.0017;0.0026;0.0051
71672;0.0018;0.0028;0.0053
71673;0.0035;0.0054;0.0104
71674;0.007;0.0109;0.021
71675;0.0006;0.001;0.0019
71676;0.0038;0.0059;0.0115
71677;0.0024;0.0038;0.0073
71678;0.0083;0.013;0.025
71679;0.0022;0.0034;0.0065
71680;0.0112;0.0174;0.0335
71681;0.007;0.0109;0.021
71682;0.0017;0.0027;0.0051
71683;0.0058;0.0091;0.0175
71684;0.0031;0.0048;0.0092
71685;0.0125;0.0194;0.0375
71686;0.0023;0.0036;0.007
71687;0.0032;0.005;0.0096
71688;0.002;0.003;0.0059
71689;0.005;0.0077;0.0149
71690;0.0047;0.0073;0.0141
71691;0.0024;0.0038;0.0073
71692;0.0017;0.0027;0.0052
71693;0.0007;0.001;0.002
71694;0.0038;0.006;0.0115
71695;0.0012;0.0019;0.0037
71696;0.0026;0.0041;0.0078
71697;0.0029;0.0045;0.0087
71698;0.0044;0.0069;0.0133
71699;0.0006;0.001;0.0018
71700;0.0021;0.0032;0.0062
71701;0.0037;0.0057;0.011
71702;0.0053;0.0083;0.016
71703;0.0029;0.0046;0.0088
71704;0.0025;0.0039;0.0075
71705;0.0027;0.0042;0.008
71706;0.0054;0.0084;0.0162
71707;0.0046;0.0071;0.0137
71708;0.0137;0.0213;0.041
71709;0.0033;0.0051;0.0098
71710;0.0046;0.0071;0.0138
71711;0.0061;0.0095;0.0183
71712;0.0043;0.0066;0.0128
71713;0.0032;0.0049;0.0095
71714;0.0029;0.0045;0.0086
71715;0.0007;0.0011;0.0021
71716;0.0027;0.0043;0.0082
71717;0.0138;0.0215;0.0415
71718;0.0027;0.0042;0.0081
71719;0.0021;0.0032;0.0062
71720;0.0055;0.0086;0.0166
71721;0.0017;0.0027;0.0052
71722;0.0035;0.0054;0.0104
71723;0.0062;0.0096;0.0186
71724;0.002;0.0031;0.0061
71725;0.001;0.0016;0.003
71726;0.0067;0.0104;0.02
71727;0.0018;0.0028;0.0054
71728;0.0035;0.0054;0.0104
71729;0.0008;0.0012;0.0023
71730;0.002;0.0031;0.006
71731;0.0064;0.0099;0.0191
71732;0.0016;0.0024;0.0047
71733;0.0034;0.0053;0.0102
71734;0.0038;0.0059;0.0114
71735;0.0029;0.0044;0.0086
71736;0.0036;0.0056;0.0107
71737;0.0013;0.002;0.0038
71738;0.0012;0.0019;0.0037
71739;0.002;0.0031;0.0059
71740;0.0023;0.0035;0.0068
71741;0.0012;0.0019;0.0037
71742;0.0012;0.0019;0.0036
71743;0.0049;0.0076;0.0146
71744;0.0015;0.0024;0.0046
71745;0.0019;0.003;0.0058
71746;0.0029;0.0045;0.0087
71747;0.0022;0.0035;0.0067
71748;0.0014;0.0023;0.0043
71749;0.002;0.0032;0.0061
71750;0.0054;0.0084;0.0163
71751;0.0027;0.0042;0.008
71752;0.0081;0.0126;0.0242
71753;0.0061;0.0095;0.0183
71754;0.0034;0.0053;0.0102
71755;0.0063;0.0098;0.0189
71756;0.0135;0.021;0.0406
71757;0.0097;0.0151;0.0291
71758;0.0091;0.0141;0.0272
71759;0.0028;0.0043;0.0083
71760;0.0034;0.0053;0.0102
71761;0.0036;0.0056;0.0108
71762;0.0068;0.0106;0.0204
71763;0.0011;0.0017;0.0034
71764;0.0029;0.0045;0.0087
71765;0.0009;0.0014;0.0028
71766;0.0007;0.0011;0.0021
71767;0.0013;0.002;0.0038
71768;0.0026;0.0041;0.0079
71769;0.0018;0.0028;0.0054
71770;0.0033;0.0052;0.01
71771;0.007;0.0109;0.021
71772;0.003;0.0046;0.0089
71773;0.0013;0.0021;0.004
